# Volts,Current,J
2.000000000000000000e+04,-5.917592000000000164e-03,-4.890571900826446577e-02
1.992307692307692196e+04,-5.512933000000000243e-03,-4.556142975206611823e-02
1.984615384615384755e+04,-5.196186999999999681e-03,-4.294369421487603117e-02
1.976923076923076951e+04,-4.900365000000000276e-03,-4.049888429752065977e-02
1.969230769230769511e+04,-4.621285999999999623e-03,-3.819244628099173477e-02
1.961538461538461706e+04,-4.333838999999999921e-03,-3.581685123966941997e-02
1.953846153846153902e+04,-4.063136000000000178e-03,-3.357963636363636706e-02
1.946153846153846098e+04,-3.809177999999999870e-03,-3.148080991735537071e-02
1.938461538461538294e+04,-3.538476000000000034e-03,-2.924360330578512635e-02
1.930769230769230489e+04,-3.277538999999999886e-03,-2.708709917355371991e-02
1.923076923076923049e+04,-3.026371999999999830e-03,-2.501133884297520454e-02
1.915384615384615245e+04,-2.772413000000000047e-03,-2.291250413223140658e-02
1.907692307692307804e+04,-2.526828000000000060e-03,-2.088287603305785320e-02
1.900000000000000000e+04,-2.275659000000000189e-03,-1.880709917355372074e-02
1.892307692307692196e+04,-2.027281000000000135e-03,-1.675438842975206927e-02
1.884615384615384755e+04,-1.787277000000000093e-03,-1.477088429752066064e-02
1.876923076923076951e+04,-1.548665999999999975e-03,-1.279889256198346939e-02
1.869230769230769511e+04,-1.317033999999999913e-03,-1.088457851239669344e-02
1.861538461538461706e+04,-1.077028999999999964e-03,-8.901066115702479728e-03
1.853846153846153902e+04,-8.426052999999999538e-04,-6.963680165289256110e-03
1.846153846153846098e+04,-6.137643000000000352e-04,-5.072432231404959413e-03
1.838461538461538294e+04,-3.835264000000000013e-04,-3.169639669421487563e-03
1.830769230769230489e+04,-1.546847000000000066e-04,-1.278385950413223103e-03
1.823076923076923049e+04,7.415747999999999459e-05,6.128717355371900415e-04
1.815384615384615245e+04,3.085823000000000016e-04,2.550266942148760301e-03
1.807692307692307804e+04,5.248677999999999894e-04,4.337750413223140193e-03
1.800000000000000000e+04,7.551069999999999787e-04,6.240553719008264631e-03
1.792307692307692196e+04,9.769746000000000159e-04,8.074170247933883798e-03
1.784615384615384755e+04,1.197446999999999921e-03,9.896256198347106944e-03
1.776923076923076951e+04,1.410942000000000099e-03,1.166067768595041403e-02
1.769230769230769511e+04,1.627226999999999970e-03,1.344815702479338834e-02
1.761538461538461706e+04,1.832349000000000044e-03,1.514338016528925593e-02
1.753846153846153902e+04,2.051425999999999857e-03,1.695393388429751805e-02
1.746153846153846098e+04,2.273293000000000015e-03,1.878754545454545608e-02
1.738461538461538294e+04,2.490974999999999873e-03,2.058657024793388024e-02
1.730769230769230489e+04,2.691910999999999957e-03,2.224719834710743929e-02
1.723076923076923049e+04,2.899825999999999879e-03,2.396550413223140497e-02
1.715384615384615245e+04,3.125880000000000151e-03,2.583371900826446355e-02
1.707692307692307804e+04,3.339373000000000081e-03,2.759812396694215006e-02
1.700000000000000000e+04,3.536122999999999957e-03,2.922415702479338670e-02
1.692307692307692196e+04,3.745432999999999835e-03,3.095399173553718686e-02
1.684615384615384755e+04,3.943572999999999697e-03,3.259151239669421524e-02
1.676923076923076951e+04,4.140325000000000255e-03,3.421756198347108285e-02
1.669230769230769511e+04,4.339870000000000012e-03,3.586669421487603815e-02
1.661538461538461706e+04,4.539406000000000170e-03,3.751575206611570956e-02
1.653846153846153902e+04,4.747320000000000186e-03,3.923404958677686322e-02
1.646153846153846098e+04,4.938493000000000396e-03,4.081399173553719451e-02
1.638461538461538294e+04,5.138033000000000183e-03,4.246308264462810012e-02
1.630769230769230671e+04,5.325011000000000154e-03,4.400835537190082858e-02
1.623076923076923049e+04,5.478504999999999833e-03,4.527690082644628133e-02
1.615384615384615245e+04,5.679440000000000009e-03,4.693752066115702143e-02
1.607692307692307622e+04,5.866424000000000291e-03,4.848284297520661507e-02
1.600000000000000000e+04,6.046430999999999681e-03,4.997050413223140530e-02
1.592307692307692378e+04,6.223641999999999716e-03,5.143505785123966834e-02
1.584615384615384755e+04,6.407837999999999902e-03,5.295733884297520316e-02
1.576923076923076951e+04,6.594823999999999999e-03,5.450267768595041390e-02
1.569230769230769329e+04,6.781805000000000125e-03,5.604797520661157495e-02
1.561538461538461706e+04,6.959024000000000286e-03,5.751259504132231332e-02
1.553846153846154084e+04,7.137631000000000184e-03,5.898868595041321938e-02
1.546153846153845916e+04,7.319029999999999807e-03,6.048785123966941846e-02
1.538461538461538294e+04,7.503222000000000363e-03,6.201009917355371909e-02
1.530769230769230671e+04,7.697184000000000144e-03,6.361309090909091080e-02
1.523076923076923049e+04,7.871606999999999216e-03,6.505460330578512196e-02
1.515384615384615245e+04,8.055800000000000113e-03,6.657685950413222420e-02
1.507692307692307622e+04,8.231611999999999263e-03,6.802985123966941161e-02
1.500000000000000000e+04,8.413019000000000747e-03,6.952908264462810684e-02
1.492307692307692378e+04,8.586049999999999585e-03,7.095909090909091610e-02
1.484615384615384755e+04,8.777214999999999670e-03,7.253896694214875818e-02
1.476923076923076951e+04,8.953034999999999813e-03,7.399202479338842786e-02
1.469230769230769329e+04,9.124666000000000027e-03,7.541046280991735296e-02
1.461538461538461706e+04,9.303280000000000577e-03,7.688661157024793968e-02
1.453846153846154084e+04,9.486075999999999536e-03,7.839732231404958340e-02
1.446153846153845916e+04,9.667478999999999656e-03,7.989652066115703055e-02
1.438461538461538294e+04,9.868401000000000603e-03,8.155703305785123869e-02
1.430769230769230671e+04,1.004144000000000043e-02,8.298710743801653023e-02
1.423076923076923049e+04,1.022284000000000040e-02,8.448628099173553785e-02
1.415384615384615245e+04,1.039308000000000072e-02,8.589322314049588347e-02
1.407692307692307622e+04,1.057308000000000033e-02,8.738082644628099305e-02
1.400000000000000000e+04,1.077402000000000047e-02,8.904148760330578283e-02
1.392307692307692378e+04,1.094426000000000079e-02,9.044842975206612845e-02
1.384615384615384755e+04,1.112427000000000034e-02,9.193611570247935127e-02
1.376923076923076951e+04,1.129450000000000072e-02,9.334297520661158365e-02
1.369230769230769329e+04,1.147869999999999967e-02,9.486528925619834574e-02
1.361538461538461706e+04,1.167823999999999945e-02,9.651438016528925135e-02
1.353846153846154084e+04,1.187081000000000074e-02,9.810586776859504810e-02
1.346153846153845916e+04,1.205360999999999932e-02,9.961661157024792601e-02
1.338461538461538294e+04,1.223499999999999935e-02,1.011157024793388343e-01
1.330769230769230671e+04,1.241362000000000021e-02,1.025919008264462862e-01
1.323076923076923049e+04,1.258663999999999963e-02,1.040218181818181736e-01
1.315384615384615245e+04,1.278199999999999996e-02,1.056363636363636394e-01
1.307692307692307622e+04,1.293548999999999914e-02,1.069048760330578440e-01
1.300000000000000000e+04,1.313781999999999971e-02,1.085770247933884325e-01
1.292307692307692378e+04,1.333597000000000081e-02,1.102146280991735672e-01
1.284615384615384755e+04,1.352573999999999964e-02,1.117829752066115678e-01
1.276923076923076951e+04,1.370853000000000002e-02,1.132936363636363603e-01
1.269230769230769147e+04,1.388713999999999921e-02,1.147697520661156850e-01
1.261538461538461524e+04,1.408528000000000037e-02,1.164072727272727342e-01
1.253846153846153902e+04,1.425971000000000009e-02,1.178488429752066191e-01
1.246153846153846098e+04,1.442996000000000036e-02,1.192558677685950502e-01
1.238461538461538476e+04,1.459739000000000002e-02,1.206395867768595143e-01
1.230769230769230853e+04,1.478717000000000052e-02,1.222080165289256143e-01
1.223076923076923049e+04,1.494066999999999965e-02,1.234766115702479322e-01
1.215384615384615245e+04,1.512065999999999931e-02,1.249641322314049563e-01
1.207692307692307622e+04,1.527835999999999951e-02,1.262674380165289267e-01
1.200000000000000000e+04,1.546953000000000043e-02,1.278473553719008393e-01
1.192307692307692378e+04,1.566348000000000046e-02,1.294502479338842937e-01
1.184615384615384755e+04,1.583510999999999946e-02,1.308686776859504242e-01
1.176923076923076951e+04,1.600396999999999931e-02,1.322642148760330427e-01
1.169230769230769147e+04,1.617419000000000148e-02,1.336709917355372035e-01
1.161538461538461524e+04,1.635419000000000109e-02,1.351585950413223269e-01
1.153846153846153902e+04,1.650350999999999901e-02,1.363926446280991633e-01
1.146153846153846098e+04,1.667932999999999916e-02,1.378457024793388330e-01
1.138461538461538476e+04,1.684538999999999828e-02,1.392180991735537110e-01
1.130769230769230853e+04,1.702539000000000136e-02,1.407057024793388622e-01
1.123076923076923049e+04,1.721376000000000156e-02,1.422624793388429787e-01
1.115384615384615245e+04,1.737005000000000146e-02,1.435541322314049795e-01
1.107692307692307622e+04,1.753748999999999933e-02,1.449379338842975151e-01
1.100000000000000000e+04,1.769377999999999923e-02,1.462295867768595159e-01
1.092307692307692378e+04,1.786541999999999991e-02,1.476480991735537318e-01
1.084615384615384755e+04,1.802310000000000023e-02,1.489512396694214758e-01
1.076923076923076951e+04,1.820031999999999900e-02,1.504158677685950296e-01
1.069230769230769147e+04,1.833846000000000087e-02,1.515575206611570469e-01
1.061538461538461524e+04,1.851705999999999838e-02,1.530335537190082307e-01
1.053846153846153902e+04,1.866777000000000020e-02,1.542790909090909213e-01
1.046153846153846098e+04,1.881986999999999896e-02,1.555361157024793273e-01
1.038461538461538476e+04,1.897336000000000161e-02,1.568046280991735875e-01
1.030769230769230853e+04,1.910312999999999942e-02,1.578771074380165285e-01
1.023076923076923049e+04,1.925802000000000069e-02,1.591571900826446451e-01
1.015384615384615245e+04,1.941568999999999934e-02,1.604602479338842758e-01
1.007692307692307622e+04,1.955942000000000097e-02,1.616480991735537165e-01
1.000000000000000000e+04,1.969896999999999967e-02,1.628014049586776757e-01
9.923076923076923777e+03,1.986918999999999838e-02,1.642081818181818087e-01
9.846153846153847553e+03,2.004502000000000020e-02,1.656613223140495916e-01
9.769230769230769511e+03,2.018315000000000040e-02,1.668028925619834679e-01
9.692307692307691468e+03,2.032408999999999952e-02,1.679676859504131980e-01
9.615384615384615245e+03,2.044411000000000145e-02,1.689595867768595161e-01
9.538461538461539021e+03,2.056689999999999907e-02,1.699743801652892627e-01
9.461538461538460979e+03,2.069108999999999879e-02,1.710007438016528936e-01
9.384615384615384755e+03,2.083482000000000042e-02,1.721885950413223065e-01
9.307692307692308532e+03,2.101899999999999949e-02,1.737107438016528838e-01
9.230769230769230489e+03,2.120458999999999886e-02,1.752445454545454584e-01
9.153846153846152447e+03,2.131341999999999959e-02,1.761439669421487608e-01
9.076923076923076223e+03,2.144460000000000116e-02,1.772280991735537270e-01
9.000000000000000000e+03,2.158414000000000166e-02,1.783813223140496007e-01
8.923076923076923777e+03,2.173763999999999905e-02,1.796499173553718909e-01
8.846153846153847553e+03,2.187298999999999841e-02,1.807685123966941976e-01
8.769230769230769511e+03,2.201948999999999920e-02,1.819792561983470947e-01
8.692307692307691468e+03,2.216322999999999904e-02,1.831671900826446209e-01
8.615384615384615245e+03,2.228882000000000085e-02,1.842051239669421636e-01
8.538461538461539021e+03,2.234883000000000008e-02,1.847010743801652810e-01
8.461538461538460979e+03,2.258046000000000011e-02,1.866153719008264433e-01
8.384615384615384755e+03,2.268231000000000067e-02,1.874571074380165514e-01
8.307692307692308532e+03,2.282881999999999967e-02,1.886679338842975340e-01
8.230769230769230489e+03,2.301163999999999987e-02,1.901788429752065968e-01
8.153846153846153356e+03,2.315675999999999846e-02,1.913781818181818084e-01
8.076923076923076223e+03,2.327256000000000116e-02,1.923352066115702752e-01
8.000000000000000000e+03,2.339814000000000130e-02,1.933730578512396769e-01
7.923076923076923777e+03,2.349862999999999952e-02,1.942035537190082428e-01
7.846153846153846644e+03,2.365211999999999870e-02,1.954720661157024753e-01
7.769230769230770420e+03,2.376653000000000099e-02,1.964176033057851156e-01
7.692307692307691468e+03,2.390190999999999844e-02,1.975364462809917065e-01
7.615384615384615245e+03,2.404564000000000007e-02,1.987242975206611473e-01
7.538461538461538112e+03,2.415865000000000026e-02,1.996582644628099312e-01
7.461538461538461888e+03,2.431492999999999849e-02,2.009498347107437632e-01
7.384615384615384755e+03,2.444191000000000072e-02,2.019992561983471047e-01
7.307692307692308532e+03,2.456190999999999930e-02,2.029909917355371962e-01
7.230769230769229580e+03,2.468887999999999985e-02,2.040403305785123966e-01
7.153846153846153356e+03,2.482842999999999856e-02,2.051936363636363281e-01
7.076923076923076223e+03,2.493866000000000138e-02,2.061046280991735702e-01
7.000000000000000000e+03,2.507819999999999841e-02,2.072578512396694161e-01
6.923076923076923777e+03,2.514798999999999854e-02,2.078346280991735517e-01
6.846153846153846644e+03,2.528613999999999862e-02,2.089763636363636268e-01
6.769230769230770420e+03,2.545636999999999900e-02,2.103832231404958730e-01
6.692307692307691468e+03,2.559171999999999836e-02,2.115018181818181797e-01
6.615384615384615245e+03,2.574937000000000059e-02,2.128047107438016394e-01
6.538461538461538112e+03,2.587358000000000019e-02,2.138312396694214967e-01
6.461538461538461888e+03,2.601453999999999919e-02,2.149961983471074534e-01
6.384615384615384755e+03,2.611917000000000058e-02,2.158609090909091033e-01
6.307692307692308532e+03,2.624196999999999988e-02,2.168757851239669354e-01
6.230769230769229580e+03,2.635360999999999954e-02,2.177984297520661194e-01
6.153846153846153356e+03,2.649173999999999973e-02,2.189399999999999957e-01
6.076923076923076223e+03,2.665775999999999910e-02,2.203120661157024762e-01
6.000000000000000000e+03,2.677641000000000049e-02,2.212926446280991943e-01
5.923076923076923777e+03,2.688526999999999931e-02,2.221923140495867532e-01
5.846153846153846644e+03,2.700525000000000148e-02,2.231838842975206738e-01
5.769230769230770420e+03,2.711968999999999838e-02,2.241296694214875984e-01
5.692307692307691468e+03,2.723690000000000139e-02,2.250983471074380349e-01
5.615384615384615245e+03,2.735691999999999985e-02,2.260902479338842974e-01
5.538461538461538112e+03,2.745596000000000148e-02,2.269087603305785239e-01
5.461538461538461888e+03,2.752991000000000119e-02,2.275199173553719145e-01
5.384615384615384755e+03,2.764855000000000090e-02,2.285004132231404916e-01
5.307692307692308532e+03,2.785226999999999842e-02,2.301840495867768233e-01
5.230769230769229580e+03,2.794576000000000005e-02,2.309566942148760238e-01
5.153846153846153356e+03,2.806714999999999904e-02,2.319599173553718863e-01
5.076923076923076223e+03,2.821090000000000056e-02,2.331479338842975535e-01
5.000000000000000000e+03,2.834344000000000099e-02,2.342433057851239786e-01
4.923076923076923777e+03,2.846624000000000029e-02,2.352581818181818107e-01
4.846153846153845734e+03,2.857925999999999869e-02,2.361922314049586524e-01
4.769230769230769511e+03,2.868951999999999961e-02,2.371034710743801510e-01
4.692307692307692378e+03,2.873695999999999889e-02,2.374955371900826506e-01
4.615384615384615245e+03,2.888067999999999885e-02,2.386833057851239503e-01
4.538461538461538112e+03,2.903976000000000127e-02,2.399980165289256340e-01
4.461538461538461888e+03,2.916813999999999865e-02,2.410590082644627763e-01
4.384615384615384755e+03,2.936628999999999975e-02,2.426966115702479387e-01
4.307692307692307622e+03,2.944582000000000102e-02,2.433538842975206673e-01
4.230769230769230489e+03,2.955185999999999924e-02,2.442302479338842869e-01
4.153846153846154266e+03,2.961460999999999955e-02,2.447488429752066041e-01
4.076923076923076678e+03,2.973879999999999926e-02,2.457752066115702350e-01
4.000000000000000000e+03,2.986023000000000149e-02,2.467787603305785227e-01
3.923076923076923322e+03,2.996768000000000001e-02,2.476667768595041397e-01
3.846153846153845734e+03,3.009745000000000129e-02,2.487392561983471362e-01
3.769230769230769056e+03,3.020209999999999909e-02,2.496041322314049293e-01
3.692307692307692378e+03,3.034165000000000126e-02,2.507574380165289440e-01
3.615384615384614790e+03,3.042813999999999935e-02,2.514722314049586682e-01
3.538461538461538112e+03,3.050631999999999996e-02,2.521183471074380233e-01
3.461538461538461888e+03,3.061376000000000028e-02,2.530062809917355549e-01
3.384615384615385210e+03,3.069469999999999837e-02,2.536752066115702253e-01
3.307692307692307622e+03,3.079515000000000030e-02,2.545053719008264492e-01
3.230769230769230944e+03,3.090959000000000068e-02,2.554511570247933738e-01
3.153846153846154266e+03,3.101974999999999871e-02,2.563615702479338787e-01
3.076923076923076678e+03,3.113141999999999993e-02,2.572844628099173470e-01
3.000000000000000000e+03,3.124164999999999928e-02,2.581954545454545613e-01
2.923076923076923322e+03,3.139095000000000080e-02,2.594293388429751990e-01
2.846153846153845734e+03,3.146493999999999680e-02,2.600408264462809593e-01
2.769230769230769056e+03,3.158773000000000136e-02,2.610556198347107615e-01
2.692307692307692378e+03,3.171751999999999905e-02,2.621282644628099012e-01
2.615384615384614790e+03,3.185145000000000337e-02,2.632351239669421528e-01
2.538461538461538112e+03,3.196032000000000040e-02,2.641348760330578527e-01
2.461538461538461888e+03,3.206639000000000017e-02,2.650114876033057842e-01
2.384615384615385210e+03,3.216404999999999959e-02,2.658185950413223253e-01
2.307692307692307622e+03,3.226314000000000265e-02,2.666375206611570348e-01
2.230769230769230944e+03,3.235241999999999979e-02,2.673753719008264418e-01
2.153846153846154266e+03,3.244732000000000172e-02,2.681596694214876675e-01
2.076923076923076678e+03,3.253094000000000124e-02,2.688507438016529139e-01
2.000000000000000000e+03,3.262862999999999875e-02,2.696580991735537114e-01
1.923076923076923322e+03,3.264675999999999689e-02,2.698079338842975239e-01
1.846153846153845734e+03,3.272909000000000235e-02,2.704883471074380208e-01
1.769230769230769056e+03,3.288259999999999794e-02,2.717570247933884242e-01
1.692307692307692605e+03,3.297470999999999736e-02,2.725182644628098561e-01
1.615384615384615017e+03,3.307933999999999874e-02,2.733829752066115892e-01
1.538461538461538339e+03,3.321607000000000032e-02,2.745129752066116091e-01
1.461538461538461661e+03,3.330398999999999859e-02,2.752395867768595017e-01
1.384615384615384983e+03,3.341282999999999753e-02,2.761390909090908896e-01
1.307692307692307395e+03,3.348402999999999796e-02,2.767275206611570226e-01
1.230769230769230944e+03,3.357335999999999654e-02,2.774657851239669126e-01
1.153846153846154266e+03,3.367102999999999763e-02,2.782729752066115392e-01
1.076923076923076678e+03,3.372822999999999793e-02,2.787457024793388305e-01
1.000000000000000000e+03,3.385106000000000226e-02,2.797608264462810301e-01
9.230769230769228670e+02,3.389711000000000113e-02,2.801414049586776756e-01
8.461538461538463025e+02,3.402966999999999798e-02,2.812369421487602716e-01
7.692307692307691696e+02,3.418455000000000105e-02,2.825169421487603305e-01
6.923076923076924913e+02,3.430176000000000058e-02,2.834856198347107670e-01
6.153846153846154721e+02,3.442873999999999934e-02,2.845350413223140529e-01
5.384615384615383391e+02,3.450270999999999894e-02,2.851463636363636422e-01
4.615384615384616609e+02,3.457807999999999715e-02,2.857692561983470880e-01
3.846153846153845848e+02,3.465762000000000009e-02,2.864266115702479576e-01
3.076923076923075087e+02,3.472882000000000052e-02,2.870150413223140351e-01
2.307692307692308304e+02,3.479576000000000197e-02,2.875682644628099194e-01
1.538461538461537543e+02,3.485578000000000287e-02,2.880642975206612055e-01
7.692307692307709033e+01,3.492835999999999858e-02,2.886641322314049685e-01
0.000000000000000000e+00,3.505392999999999704e-02,2.897019008264462570e-01
-7.692307692307709033e+01,3.519624999999999837e-02,2.908780991735537280e-01
-1.538461538461537543e+02,3.519065999999999861e-02,2.908319008264462768e-01
-2.307692307692308304e+02,3.535254000000000174e-02,2.921697520661157288e-01
-3.076923076923075087e+02,3.546976000000000295e-02,2.931385123966941952e-01
-3.846153846153845848e+02,3.554091000000000194e-02,2.937265289256198453e-01
-4.615384615384616609e+02,3.562466000000000244e-02,2.944186776859504806e-01
-5.384615384615383391e+02,3.567765999999999993e-02,2.948566942148760361e-01
-6.153846153846154721e+02,3.575583999999999707e-02,2.955028099173553913e-01
-6.923076923076924913e+02,3.586051999999999990e-02,2.963679338842975519e-01
-7.692307692307691696e+02,3.591632000000000158e-02,2.968290909090908758e-01
-8.461538461538463025e+02,3.599581000000000308e-02,2.974860330578512624e-01
-9.230769230769228670e+02,3.605723999999999735e-02,2.979937190082644904e-01
-1.000000000000000000e+03,3.618421000000000137e-02,2.990430578512396909e-01
-1.076923076923076906e+03,3.630144999999999900e-02,3.000119834710743283e-01
-1.153846153846153811e+03,3.642702999999999913e-02,3.010498347107438133e-01
-1.230769230769230944e+03,3.650518999999999986e-02,3.016957851239669419e-01
-1.307692307692307622e+03,3.658052999999999999e-02,3.023184297520661312e-01
-1.384615384615384528e+03,3.672707000000000055e-02,3.035295041322313980e-01
-1.461538461538461434e+03,3.679546000000000205e-02,3.040947107438016772e-01
-1.538461538461538566e+03,3.690430000000000099e-02,3.049942148760330651e-01
-1.615384615384615472e+03,3.697824999999999723e-02,3.056053719008264280e-01
-1.692307692307692378e+03,3.707734000000000030e-02,3.064242975206611375e-01
-1.769230769230769056e+03,3.715407999999999905e-02,3.070585123966942387e-01
-1.846153846153846189e+03,3.713734999999999953e-02,3.069202479338842826e-01
-1.923076923076923094e+03,3.722807000000000199e-02,3.076699999999999990e-01
-2.000000000000000000e+03,3.737738000000000171e-02,3.089039669421487777e-01
-2.076923076923076678e+03,3.746949000000000113e-02,3.096652066115702651e-01
-2.153846153846153811e+03,3.758236999999999689e-02,3.105980991735536878e-01
-2.230769230769230944e+03,3.768563999999999942e-02,3.114515702479339065e-01
-2.307692307692307622e+03,3.778746000000000188e-02,3.122930578512396749e-01
-2.384615384615384755e+03,3.787399999999999795e-02,3.130082644628098820e-01
-2.461538461538461888e+03,3.796610999999999736e-02,3.137695041322314249e-01
-2.538461538461538112e+03,3.818101000000000134e-02,3.155455371900826589e-01
-2.615384615384615245e+03,3.819219000000000086e-02,3.156379338842975613e-01
-2.692307692307692378e+03,3.822426999999999769e-02,3.159030578512396215e-01
-2.769230769230769056e+03,3.819498999999999811e-02,3.156610743801652741e-01
-2.846153846153846189e+03,3.834285999999999944e-02,3.168831404958677989e-01
-2.923076923076922867e+03,3.837776999999999855e-02,3.171716528925619949e-01
-3.000000000000000000e+03,3.847684999999999994e-02,3.179904958677685634e-01
